GPU
50	0,06689453125	0,068457113188271435	0,4251060852106364	6,317138671875
60	0,064697265625	0,068425480772580605	0,5308904376839629	6,84033203125
70	0,067138671875	0,06979089971731881	0,5667538289914724	7,152099609375
80	0,06689453125	0,070942552529944822	1,3433771882067682	20,612548828125
90	0,06689453125	0,3332236655392575	2,4842875341985047	19,82763671875
100	0,070556640625	0,5922893552185144	2,3467681692882287	26,244384765625
110	0,0673828125	1,0303172627798909	2,8241759003070220	31,5361328125
120	0,0722656250	3,2556541909652825	5,5838890782654875	23,859130859375
130	0,115478515625	5,1364328069712360	7,2966131509770660	29,849609375
140	0,235107421875	5,7495640136658570	11,578814638931544	40,88916015625
150	0,070556640625	6,7039747220290750	11,773389222620027	64,213134765625



CPU
50	0,092041015625	0,6693004863467500	2,1825231035732733	40,84765625
60	0,09326171875	0,8020019117603691	2,6762038816654640	41,571533203125
70	0,1425781250	1,4750060798436580	6,8345383796031460	55,448974609375
80	0,6562500000	4,4707574039960990	9,9803354484639400	59,328857421875
90	0,0986328125	7,3647707131106020	13,084530473983556	60,065185546875
100	0,278076171875	11,618804478877067	13,502941938767787	61,386962890625
110	0,2353515625	11,654514883192023	17,082726878952080	66,31396484375
120	0,15283203125	15,602715780963592	20,753007597220723	79,08056640625
130	0,106201171875	16,451702350537506	23,891967163542166	83,3974609375
140	0,0937500000	21,838198338520570	29,612200383850812	79,86767578125
150	0,0000000000	0,0000000000000000	0,0000000000000000	0,0000000000
